fighter,stance,win_loss_ratio,average_rounds,average_time_seconds,most_common_method,height_inches,weight_lbs,height_meters,weight_kg,past_fights
Mitchell Sipe,Orthodox,,,,,74.0,245.0,1.88,111.13,[]
AJ Siscoe,,,,,,67.0,135.0,1.7,61.23,[]
Yokthai Sithoar,,0.0,1.0,60.0,SUB Keylock,67.0,143.0,1.7,64.86,"[{'wl': 'loss', 'opponent': 'Shinya Aoki', 'method': 'SUB\n \n \n\n Keylock', 'round': '1', 'time': '1:00'}]"
Jeri Sitzes,,,3.0,138.0,KO/TKO,65.0,125.0,1.65,56.7,"[{'wl': 'win', 'opponent': 'Lacey Schuckman', 'method': 'KO/TKO', 'round': '3', 'time': '2:18'}]"
Dennis Siver,Orthodox,1.5,2.5,237.0,U-DEC,66.0,145.0,1.68,65.77,"[{'wl': 'win', 'opponent': 'BJ Penn', 'method': 'M-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Tatsuya Kawajiri', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Conor McGregor', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '1:54'}, {'wl': 'win', 'opponent': 'Charles Rosa', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'nc', 'opponent': 'Manvel Gamburyan', 'method': 'Overturned', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Cub Swanson', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '3', 'time': '2:24'}, {'wl': 'win', 'opponent': 'Nam Phan', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Diego Nunes', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Donald Cerrone', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '2:22'}, {'wl': 'win', 'opponent': 'Matt Wiman', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'George Sotiropoulos', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Andre Winner', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '1', 'time': '3:37'}, {'wl': 'win', 'opponent': 'Spencer Fisher', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Ross Pearson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Paul Kelly', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '2', 'time': '2:53'}, {'wl': 'win', 'opponent': 'Dale Hartt', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '3:23'}, {'wl': 'win', 'opponent': 'Nate Mohr', 'method': 'KO/TKO\n \n\n\n Spinning Back Kick', 'round': '3', 'time': '3:45'}, {'wl': 'loss', 'opponent': 'Melvin Guillard', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:36'}, {'wl': 'loss', 'opponent': 'Gray Maynard', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Naoyuki Kotani', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '2:04'}, {'wl': 'loss', 'opponent': 'Jess Liaudin', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '1:21'}]"
Chas Skelly,Orthodox,,,,,71.0,145.0,1.8,65.77,[]
Matt Skelton,Orthodox,0.0,1.0,111.0,SUB Other - Choke,75.0,265.0,1.91,120.2,"[{'wl': 'loss', 'opponent': 'Tom Erikson', 'method': 'SUB\n \n \n\n Other - Choke', 'round': '1', 'time': '1:51'}]"
Zach Skinner,Orthodox,,3.0,300.0,U-DEC,66.0,145.0,1.68,65.77,"[{'wl': 'win', 'opponent': 'Scott Shaffer', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Brian Sleeman,,0.0,1.0,195.0,SUB Armbar,68.0,185.0,1.73,83.91,"[{'wl': 'loss', 'opponent': 'Chris Leben', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '3:15'}]"
Joe Slick,Orthodox,1.0,2.0,101.0,KO/TKO,72.0,199.0,1.83,90.26,"[{'wl': 'loss', 'opponent': 'Ikuhisa Minowa', 'method': 'KO/TKO', 'round': '3', 'time': '1:54'}, {'wl': 'win', 'opponent': 'Jason DeLucia', 'method': 'KO/TKO', 'round': '1', 'time': '1:28'}]"
Ray Sloan,,,,,,73.0,205.0,1.85,92.99,[]
Kestutis Smirnovas,Orthodox,0.0,1.0,291.0,KO/TKO Kick,70.0,200.0,1.78,90.72,"[{'wl': 'loss', 'opponent': 'Yoshihiro Akiyama', 'method': 'KO/TKO\n \n \n\n Kick', 'round': '1', 'time': '3:01'}, {'wl': 'loss', 'opponent': 'Kazushi Sakuraba', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '6:41'}]"
Maurice Smith,Orthodox,2.0,2.0,277.0,M-DEC,74.0,221.0,1.88,100.24,"[{'wl': 'win', 'opponent': 'Rick Roufus', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '1:53'}, {'wl': 'loss', 'opponent': 'Renato Sobral', 'method': 'M-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Bobby Hoffman', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Branko Cikatic', 'method': 'SUB\n \n \n\n Forearm Choke', 'round': '1', 'time': '7:33'}, {'wl': 'win', 'opponent': 'Marco Ruas', 'method': 'KO/TKO', 'round': '1', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Kevin Randleman', 'method': 'U-DEC', 'round': '2', 'time': '3:00'}, {'wl': 'loss', 'opponent': 'Randy Couture', 'method': 'M-DEC', 'round': '3', 'time': '3:00'}, {'wl': 'win', 'opponent': 'David Abbott', 'method': 'SUB\n \n \n\n Other', 'round': '1', 'time': '8:08'}, {'wl': 'win', 'opponent': 'Mark Coleman', 'method': 'U-DEC', 'round': '3', 'time': '3:00'}]"
Patrick Smith,Orthodox,2.0,1.0,68.0,SUB Guillotine Choke,74.0,225.0,1.88,102.06,"[{'wl': 'win', 'opponent': 'Rudyard Moncayo', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '1:08'}, {'wl': 'loss', 'opponent': 'Royce Gracie', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:17'}, {'wl': 'win', 'opponent': 'Johnny Rhodes', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '1:07'}, {'wl': 'win', 'opponent': 'Scott Morris', 'method': 'KO/TKO\n \n \n\n Elbows', 'round': '1', 'time': '0:30'}, {'wl': 'win', 'opponent': 'Ray Wizard', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '0:58'}, {'wl': 'loss', 'opponent': 'Ken Shamrock', 'method': 'SUB\n \n \n\n Heel Hook', 'round': '1', 'time': '1:49'}]"
Scott Smith,Orthodox,0.5555555555555556,2.2142857142857144,177.0,KO/TKO Punch,72.0,185.0,1.83,83.91,"[{'wl': 'loss', 'opponent': 'Lumumba Sayers', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '1:34'}, {'wl': 'loss', 'opponent': 'Tarec Saffiedine', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Paul Daley', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '2:09'}, {'wl': 'loss', 'opponent': 'Cung Le', 'method': 'KO/TKO\n \n \n\n Spinning Back Kick', 'round': '2', 'time': '1:46'}, {'wl': 'win', 'opponent': 'Cung Le', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '3:25'}, {'wl': 'loss', 'opponent': 'Nick Diaz', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '3', 'time': '1:41'}, {'wl': 'win', 'opponent': 'Benji Radach', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '3', 'time': '3:24'}, {'wl': 'win', 'opponent': 'Terry Martin', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:29'}, {'wl': 'loss', 'opponent': 'Robbie Lawler', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '2', 'time': '2:35'}, {'wl': 'nc', 'opponent': 'Robbie Lawler', 'method': 'CNC', 'round': '3', 'time': '3:26'}, {'wl': 'loss', 'opponent': 'Ed Herman', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '2:25'}, {'wl': 'loss', 'opponent': 'Patrick Cote', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Pete Sell', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '2', 'time': '3:25'}, {'wl': 'loss', 'opponent': 'David Terrell', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '3:08'}, {'wl': 'win', 'opponent': 'Justin Levens', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:58'}]"
Eric Smith,Southpaw,0.0,1.0,30.0,SUB Guillotine Choke,,,,,"[{'wl': 'loss', 'opponent': 'Dan Henderson', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '0:30'}]"
Josh Smith,Orthodox,0.0,3.0,300.0,M-DEC,72.0,155.0,1.83,70.31,"[{'wl': 'loss', 'opponent': 'Alex Karalexis', 'method': 'M-DEC', 'round': '3', 'time': '5:00'}]"
David Smith,,2.0,2.6666666666666665,119.0,KO/TKO,,155.0,,70.31,"[{'wl': 'win', 'opponent': 'Sean Bassett', 'method': 'KO/TKO', 'round': '2', 'time': '1:23'}, {'wl': 'loss', 'opponent': 'Andrew Montanez', 'method': 'U-DEC', 'round': '3', 'time': '3:00'}, {'wl': 'win', 'opponent': 'Sean Bassett', 'method': 'KO/TKO', 'round': '3', 'time': '1:36'}]"
Adam Smith,,0.0,3.0,180.0,U-DEC,,,,,"[{'wl': 'loss', 'opponent': 'Dewey Cooper', 'method': 'U-DEC', 'round': '3', 'time': '3:00'}]"
Dillon Smith,,,1.0,75.0,SUB Rear Naked Choke,72.0,170.0,1.83,77.11,"[{'wl': 'win', 'opponent': 'Lemont Davis', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '1:15'}]"
Trevor Smith,Orthodox,0.7777777777777778,2.4375,227.0,U-DEC,75.0,185.0,1.91,83.91,"[{'wl': 'loss', 'opponent': 'Makhmud Muradov', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '3', 'time': '4:09'}, {'wl': 'loss', 'opponent': 'Zak Cummings', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Elias Theodorou', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Chris Camozzi', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Andrew Sanchez', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Joseph Gigliotti', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Dan Miller', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Caio Magalhaes', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:31'}, {'wl': 'win', 'opponent': 'Tor Troeng', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Thales Leites', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:45'}, {'wl': 'win', 'opponent': 'Brian Houston', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Ed Herman', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Tim Kennedy', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '3', 'time': '1:36'}, {'wl': 'loss', 'opponent': 'Gian Villante', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:05'}, {'wl': 'win', 'opponent': 'TJ Cook', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '4:28'}, {'wl': 'win', 'opponent': 'Keith Berry', 'method': 'SUB\n \n \n\n North-South Choke', 'round': '2', 'time': '3:02'}]"
Anthony Smith,Orthodox,1.3636363636363635,2.3076923076923075,186.0,U-DEC,76.0,205.0,1.93,92.99,"[{'wl': 'win', 'opponent': 'Vitor Petrino', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '2:00'}, {'wl': 'loss', 'opponent': 'Khalil Rountree Jr.', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '3', 'time': '0:56'}, {'wl': 'win', 'opponent': 'Ryan Spann', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Johnny Walker', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Magomed Ankalaev', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '3:09'}, {'wl': 'win', 'opponent': 'Ryan Spann', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '1', 'time': '3:47'}, {'wl': 'win', 'opponent': 'Jimmy Crute', 'method': 'KO/TKO', 'round': '1', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Devin Clark', 'method': 'SUB\n \n\n\n Triangle Choke', 'round': '1', 'time': '2:34'}, {'wl': 'loss', 'opponent': 'Aleksandar Rakic', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Glover Teixeira', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '5', 'time': '1:04'}, {'wl': 'win', 'opponent': 'Alexander Gustafsson', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '4', 'time': '2:38'}, {'wl': 'loss', 'opponent': 'Jon Jones', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Volkan Oezdemir', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '3', 'time': '4:26'}, {'wl': 'win', 'opponent': 'Mauricio Rua', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '1', 'time': '1:29'}, {'wl': 'win', 'opponent': 'Rashad Evans', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '1', 'time': '0:53'}, {'wl': 'loss', 'opponent': 'Thiago Santos', 'method': 'KO/TKO\n \n\n\n Kick', 'round': '2', 'time': '1:03'}, {'wl': 'win', 'opponent': 'Hector Lombard', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '2:33'}, {'wl': 'win', 'opponent': 'Andrew Sanchez', 'method': 'KO/TKO\n \n \n\n Kick', 'round': '3', 'time': '3:52'}, {'wl': 'win', 'opponent': 'Elvis Mutapcic', 'method': 'KO/TKO\n \n\n\n Elbow', 'round': '2', 'time': '3:27'}, {'wl': 'loss', 'opponent': 'Cezar Ferreira', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Leonardo Guimaraes', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Antonio Braga Neto', 'method': 'SUB\n \n \n\n Kneebar', 'round': '1', 'time': '1:52'}, {'wl': 'loss', 'opponent': 'Roger Gracie', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '2', 'time': '3:16'}, {'wl': 'win', 'opponent': 'Lumumba Sayers', 'method': 'SUB\n \n \n\n Triangle Choke', 'round': '1', 'time': '3:52'}, {'wl': 'loss', 'opponent': 'Adlan Amagov', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '2:32'}, {'wl': 'win', 'opponent': 'Ben Lagman', 'method': 'KO/TKO', 'round': '2', 'time': '0:33'}]"
Colton Smith,Orthodox,0.3333333333333333,2.25,120.0,SUB Rear Naked Choke,72.0,155.0,1.83,70.31,"[{'wl': 'loss', 'opponent': 'Diego Ferreira', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '0:38'}, {'wl': 'loss', 'opponent': 'Michael Chiesa', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '1:41'}, {'wl': 'loss', 'opponent': 'Robert Whittaker', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '3', 'time': '0:41'}, {'wl': 'win', 'opponent': 'Mike Ricci', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Gilbert Smith,Southpaw,0.0,3.0,169.0,SUB Triangle Choke,69.0,185.0,1.75,83.91,"[{'wl': 'loss', 'opponent': 'Robert McDaniel', 'method': 'SUB\n \n \n\n Triangle Choke', 'round': '3', 'time': '2:49'}]"
Leslie Smith,Orthodox,1.3333333333333333,2.142857142857143,198.0,U-DEC,69.0,135.0,1.75,61.23,"[{'wl': 'win', 'opponent': 'Amanda Lemos', 'method': 'KO/TKO\n \n \n\n Elbows', 'round': '2', 'time': '2:53'}, {'wl': 'win', 'opponent': 'Irene Aldana', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Cristiane Justino', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:21'}, {'wl': 'win', 'opponent': 'Rin Nakai', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jessica Eye', 'method': 'KO/TKO', 'round': '2', 'time': '1:30'}, {'wl': 'win', 'opponent': 'Jessamyn Duke', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '2:24'}, {'wl': 'loss', 'opponent': 'Sarah Kaufman', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Devonte Smith,Orthodox,1.3333333333333333,1.5714285714285714,199.0,KO/TKO Punches,69.0,155.0,1.75,70.31,"[{'wl': 'loss', 'opponent': 'Ludovit Klein', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jamie Mullarkey', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '2:51'}, {'wl': 'win', 'opponent': 'Justin Jaynes', 'method': 'KO/TKO', 'round': '2', 'time': '3:38'}, {'wl': 'loss', 'opponent': 'Khama Worthy', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '4:15'}, {'wl': 'win', 'opponent': 'Dong Hyun Ma', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '1', 'time': '3:53'}, {'wl': 'win', 'opponent': 'Julian Erosa', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:46'}, {'wl': 'win', 'opponent': 'Joe Lowry', 'method': 'KO/TKO\n \n \n\n Elbows', 'round': '1', 'time': '2:52'}]"
Cole Smith,Orthodox,0.5,3.0,300.0,U-DEC,71.0,135.0,1.8,61.23,"[{'wl': 'loss', 'opponent': 'Hunter Azure', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Miles Johns', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Mitch Gagnon', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Nate Smith,Switch,0.0,3.0,195.0,SUB Arm Triangle,66.0,125.0,1.68,56.7,"[{'wl': 'loss', 'opponent': 'Jimmy Flick', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '3', 'time': '3:15'}]"
Walter Smith-Cotito,,,,,,68.0,135.0,1.73,61.23,[]
Justin Smitley,,,,,,,145.0,,65.77,[]
Dmitrii Smoliakov,Switch,0.0,1.3333333333333333,178.0,KO/TKO Punches,74.0,253.0,1.88,114.76,"[{'wl': 'loss', 'opponent': 'Greg Hardy', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '2:15'}, {'wl': 'loss', 'opponent': 'Cyril Asker', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '2:41'}, {'wl': 'loss', 'opponent': 'Luis Henrique', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '3:58'}]"
Louis Smolka,Orthodox,0.8888888888888888,2.176470588235294,211.0,U-DEC,69.0,135.0,1.75,61.23,"[{'wl': 'loss', 'opponent': 'Davey Grant', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '0:49'}, {'wl': 'loss', 'opponent': 'Vince Morales', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '2:02'}, {'wl': 'win', 'opponent': 'Jose Quinonez', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '2:15'}, {'wl': 'loss', 'opponent': 'Casey Kenney', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '3:03'}, {'wl': 'win', 'opponent': 'Ryan MacDonald', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '4:43'}, {'wl': 'loss', 'opponent': 'Matt Schnell', 'method': 'SUB\n \n \n\n Triangle Choke', 'round': '1', 'time': '3:18'}, {'wl': 'win', 'opponent': 'Sumudaerji', 'method': 'SUB\n \n \n\n Armbar', 'round': '2', 'time': '2:07'}, {'wl': 'loss', 'opponent': 'Matheus Nicolau', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Tim Elliott', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Ray Borg', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Brandon Moreno', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '2:23'}, {'wl': 'win', 'opponent': 'Ben Nguyen', 'method': 'KO/TKO\n \n\n\n Elbows', 'round': '2', 'time': '4:41'}, {'wl': 'win', 'opponent': 'Paddy Holohan', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '4:09'}, {'wl': 'win', 'opponent': 'Neil Seery', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Richie Vaculik', 'method': 'KO/TKO\n \n\n\n Kick', 'round': '3', 'time': '0:18'}, {'wl': 'loss', 'opponent': 'Chris Cariaso', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Alptekin Ozkilic', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Shimon Smotritsky,Orthodox,0.0,1.0,128.0,SUB Guillotine Choke,74.0,170.0,1.88,77.11,"[{'wl': 'loss', 'opponent': 'Billy Ray Goff', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '3:37'}, {'wl': 'loss', 'opponent': 'Mike Malott', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '0:39'}]"
Richie Smullen,Orthodox,0.0,1.0,212.0,SUB Guillotine Choke,69.0,155.0,1.75,70.31,"[{'wl': 'loss', 'opponent': 'Luis Pena', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '3:32'}]"
Devin Smyth,Switch,0.0,3.0,300.0,U-DEC,70.0,170.0,1.78,77.11,"[{'wl': 'loss', 'opponent': 'Brok Weaver', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Denis Sobolev,Orthodox,0.0,1.0,22.0,SUB Keylock,75.0,216.0,1.91,97.98,"[{'wl': 'loss', 'opponent': 'Heath Herring', 'method': 'SUB\n \n \n\n Keylock', 'round': '1', 'time': '0:22'}]"
Peter Sobotta,Southpaw,0.6666666666666666,2.5,254.0,U-DEC,72.0,170.0,1.83,77.11,"[{'wl': 'loss', 'opponent': 'Alex Oliveira', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Leon Edwards', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '3', 'time': '4:59'}, {'wl': 'win', 'opponent': 'Ben Saunders', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '2', 'time': '2:29'}, {'wl': 'win', 'opponent': 'Nicolas Dalby', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Kyle Noke', 'method': 'KO/TKO\n \n \n\n Kick', 'round': '1', 'time': '2:01'}, {'wl': 'win', 'opponent': 'Steve Kennedy', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '2:57'}, {'wl': 'win', 'opponent': 'Pawel Pawlak', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Amir Sadollah', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'James Wilks', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Paul Taylor', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Renato Sobral,Orthodox,,,,,73.0,205.0,1.85,92.99,[]
Rameau Thierry Sokoudjou,Orthodox,,,,,70.0,205.0,1.78,92.99,[]
Joe Solecki,Orthodox,2.0,2.2222222222222223,261.0,U-DEC,69.0,155.0,1.75,70.31,"[{'wl': 'loss', 'opponent': 'Grant Dawson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Drakkar Klose', 'method': 'KO/TKO\n \n \n\n Slam', 'round': '1', 'time': '1:41'}, {'wl': 'win', 'opponent': 'Carl Deaton', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '2', 'time': '4:55'}, {'wl': 'win', 'opponent': 'Alex Da Silva', 'method': 'M-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jared Gordon', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Jim Miller', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Austin Hubbard', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '3:51'}, {'wl': 'win', 'opponent': 'Matt Wiman', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'James Wallace', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '3:49'}]"
Chris Solomon,,0.0,3.0,300.0,U-DEC,71.0,155.0,1.8,70.31,"[{'wl': 'loss', 'opponent': 'Casey Olson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Joe Son,Orthodox,0.0,1.0,164.0,SUB Other - Choke,64.0,236.0,1.63,107.05,"[{'wl': 'loss', 'opponent': 'Keith Hackney', 'method': 'SUB\n \n \n\n Other - Choke', 'round': '1', 'time': '2:44'}]"
Paul Song,,0.0,1.0,99.0,SUB Triangle Choke,,185.0,,83.91,"[{'wl': 'loss', 'opponent': 'Casey Ryan', 'method': 'SUB\n \n \n\n Triangle Choke', 'round': '1', 'time': '1:39'}]"
