fighter,stance,win_loss_ratio,average_rounds,average_time_seconds,most_common_method,height_inches,weight_lbs,height_meters,weight_kg
Tae Hyun Bang,Switch,0.6666666666666666,2.6,251.0,U-DEC,69.0,155.0,1.75,70.31
Yohan Banks,,,2.0,99.0,KO/TKO,,,,
Antonio Banuelos,Orthodox,1.3333333333333333,2.5,266.0,U-DEC,65.0,135.0,1.65,61.23
Renan Barao,Orthodox,1.375,2.8947368421052633,226.0,U-DEC,66.0,145.0,1.68,65.77
Junior Barata,Orthodox,0.0,1.0,149.0,KO/TKO Kick,70.0,170.0,1.78,77.11
Maycee Barber,Switch,5.0,2.5833333333333335,255.0,U-DEC,65.0,125.0,1.65,56.7
Bryan Barberena,Southpaw,0.9,2.473684210526316,260.0,U-DEC,72.0,170.0,1.83,77.11
Edson Barboza,Orthodox,,,,None,71.0,145.0,1.8,65.77
Raoni Barcelos,Orthodox,1.75,2.6363636363636362,257.0,U-DEC,67.0,135.0,1.7,61.23
Daniel Barez,Orthodox,0.0,2.0,253.0,S-DEC,66.0,125.0,1.68,56.7
Luke Barnatt,Orthodox,1.0,2.5,266.0,S-DEC,78.0,185.0,1.98,83.91
James Barnes,Orthodox,0.0,3.0,235.0,KO/TKO Punches,68.0,135.0,1.73,61.23
Nick Barnes,,,,,None,71.0,170.0,1.8,77.11
Shonte Barnes,Southpaw,0.0,2.0,166.0,SUB Rear Naked Choke,71.0,185.0,1.8,83.91
Josh Barnett,Orthodox,2.625,2.0344827586206895,225.0,KO/TKO Punches,75.0,250.0,1.91,113.4
Chris Barnett,Orthodox,1.0,2.25,128.0,SUB Guillotine Choke,69.0,265.0,1.75,120.2
Chris Barnhizer,,,1.0,155.0,SUB Armbar,,,,
David Baron,Switch,0.0,2.0,314.0,SUB Rear Naked Choke,66.0,155.0,1.68,70.31
Phil Baroni,Orthodox,0.5384615384615384,1.95,223.0,U-DEC,69.0,170.0,1.75,77.11
Dan Barrera,Orthodox,0.0,3.0,300.0,U-DEC,69.0,170.0,1.75,77.11
Carlos Barreto,Orthodox,0.5,2.3333333333333335,360.0,U-DEC,76.0,230.0,1.93,104.33
Jose Barreto,Southpaw,0.0,1.0,66.0,KO/TKO Kick,,185.0,,83.91
Peter Barrett,Southpaw,0.5,3.0,260.0,U-DEC,70.0,145.0,1.78,65.77
Marc-Andre Barriault,Orthodox,0.8333333333333334,2.727272727272727,265.0,U-DEC,73.0,185.0,1.85,83.91
David Barrios,,0.0,3.0,300.0,U-DEC,66.0,145.0,1.68,65.77
Alexandre Barros,Southpaw,0.0,2.0,189.0,KO/TKO Punches,69.0,170.0,1.75,77.11
Ricardo Barros,,0.0,1.0,146.0,KO/TKO Punches,73.0,205.0,1.85,92.99
Francimar Barroso,Orthodox,1.0,3.0,298.0,U-DEC,73.0,205.0,1.85,92.99
Pat Barry,Orthodox,0.7142857142857143,1.5833333333333333,170.0,KO/TKO Punches,71.0,235.0,1.8,106.59
Dean Barry,,0.0,1.0,232.0,DQ,,155.0,,70.31
Enrique Barzola,Orthodox,2.0,3.3333333333333335,333.0,U-DEC,67.0,145.0,1.7,65.77
Javid Basharat,Orthodox,4.0,3.4,293.0,U-DEC,69.0,135.0,1.75,61.23
Stephen Bass,Orthodox,0.0,3.0,300.0,U-DEC,69.0,145.0,1.75,65.77
Sean Bassett,,0.0,2.0,152.0,KO/TKO,,155.0,,70.31
Ryan Bastianelli,,,3.0,180.0,U-DEC,65.0,135.0,1.65,61.23
Shayna Baszler,Orthodox,0.0,2.2,200.0,KO/TKO Punches,67.0,135.0,1.7,61.23
Michel Batista,Orthodox,0.0,1.0,134.0,SUB Triangle Choke,75.0,260.0,1.91,117.93
Bryan Battle,Orthodox,5.0,2.3333333333333335,187.0,U-DEC,73.0,185.0,1.85,83.91
Alan Baudot,Orthodox,0.0,2.6666666666666665,222.0,KO/TKO Punches,75.0,243.0,1.91,110.22
Mario Bautista,Switch,,,,None,69.0,135.0,1.75,61.23
Chris Beal,Orthodox,0.6666666666666666,2.8,246.0,U-DEC,67.0,125.0,1.7,56.7
Rudy Bears,Southpaw,0.0,1.0,172.0,SUB Arm Triangle,71.0,170.0,1.8,77.11
Salvador Becerra,,,,,None,69.0,155.0,1.75,70.31
Ariel Beck,Southpaw,0.0,2.0,173.0,KO/TKO Punch,66.0,125.0,1.68,56.7
Jeff Bedard,Orthodox,1.0,2.0,225.0,SUB Triangle Choke,66.0,145.0,1.68,65.77
Eric Bedard,,,,,None,74.0,239.0,1.88,108.41
Johnny Bedford,Orthodox,0.6666666666666666,2.4,132.0,KO/TKO Punch,70.0,135.0,1.78,61.23
Chase Beebe,Orthodox,0.4,2.4285714285714284,294.0,U-DEC,67.0,135.0,1.7,61.23
Lyle Beerbohm,Southpaw,1.5,2.2,207.0,SUB Guillotine Choke,70.0,155.0,1.78,70.31
Mirsad Bektic,Orthodox,1.5,2.3,220.0,S-DEC,68.0,145.0,1.73,65.77
Diana Belbita,Orthodox,0.4,2.4285714285714284,280.0,U-DEC,67.0,125.0,1.7,56.7
Alan Belcher,Orthodox,,,,None,74.0,185.0,1.88,83.91
Vitor Belfort,Southpaw,1.7142857142857142,1.7105263157894737,231.0,KO/TKO Punches,72.0,185.0,1.83,83.91
Danilo Belluardo,Southpaw,0.0,1.5,107.0,KO/TKO Punches,72.0,155.0,1.83,70.31
Joey Beltran,Orthodox,0.42857142857142855,3.0,272.0,U-DEC,73.0,185.0,1.85,83.91
Marco Beltran,Orthodox,1.0,2.3333333333333335,246.0,U-DEC,68.0,125.0,1.73,56.7
Joseph Benavidez,Southpaw,2.625,2.4482758620689653,248.0,U-DEC,64.0,125.0,1.63,56.7
Mike Bencic,Orthodox,0.0,1.0,117.0,KO/TKO Punches,72.0,215.0,1.83,97.52
Dave Beneteau,Orthodox,1.0,1.1666666666666667,107.0,SUB Ankle Lock,74.0,250.0,1.88,113.4
Karla Benitez,,0.0,1.0,75.0,SUB Armbar,63.0,113.0,1.6,51.26
Gabriel Benitez,Southpaw,0.875,2.1333333333333333,216.0,KO/TKO Punches,68.0,155.0,1.73,70.31
Charles Bennett,Orthodox,1.0,1.0,223.0,KO/TKO Punch,68.0,155.0,1.73,70.31
Josh Bennett,Orthodox,0.0,2.0,300.0,KO/TKO,76.0,259.0,1.93,117.48
DeAnna Bennett,Orthodox,,,,M-DEC,64.0,125.0,1.63,56.7
Lance Benoist,Southpaw,1.0,3.0,300.0,U-DEC,71.0,170.0,1.8,77.11
Joe Benoit,Orthodox,0.0,1.0,29.0,SUB Guillotine Choke,69.0,170.0,1.75,77.11
Ryan Benoit,Orthodox,0.5,2.5555555555555554,242.0,S-DEC,65.0,125.0,1.65,56.7
Pat Benson,,,1.0,162.0,SUB Armbar,69.0,155.0,1.75,70.31
Len Bentley,,,3.0,300.0,U-DEC,69.0,155.0,1.75,70.31
Steve Berger,Orthodox,0.0,3.0,218.0,U-DEC,71.0,170.0,1.8,77.11
Kenneth Bergh,Orthodox,,,,Overturned Neck Crank,74.0,205.0,1.88,92.99
Bret Bergmark,,1.0,2.0,258.0,SUB Triangle Choke,69.0,170.0,1.75,77.11
Keith Berish,Orthodox,0.0,4.0,423.0,Overturned,72.0,205.0,1.83,92.99
Dennis Bermudez,Orthodox,1.4285714285714286,2.4705882352941178,253.0,U-DEC,66.0,155.0,1.68,70.31
Manny Bermudez,Orthodox,1.5,1.6,173.0,SUB Guillotine Choke,70.0,145.0,1.78,65.77
